Título;Provincia;Fecha publicación;Descripción;ProvinciaAlternativa;FuenteContenido;ID Localidad;Localidad;Latitud;Longitud;Código localidad;Identificador;actualizacion de metadatos;Enlace al contenido;Posicion
SOLDADORES POR MIG-MAG;Zamora;2026-09-16;"<p>Oferta Núm 19642 de SOLDADOR para empresa de ZAMORA.
Los interesados/as deben enviar su CV a (ecyldoctorfleming.ofertas@jcyl.es) indicando en el asunto el Núm. de la oferta.
FUNCIONES: La propias del puesto con conocimientos en Flux Core.
CONDICIONES: Contrato indefinido a jornada completa. 
REQUISITOS: Experiencia 12 meses y conocimientos en Flux Core.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394458'>Oficina Virtual</a></p>";;ECYL;1179469491795;Zamora;41.507324;-5.745313;49;1285679457413;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679457413/Empleo;41.507324, -5.745313
FISIOTERAPEUTAS, EN GENERAL;Zamora;2026-09-16;"<p>Oferta Núm 19599 de FISIOTERAPEUTA para Asociación de ZAMORA.
Los interesados/as deben enviar su CV a (ecyldoctorfleming.ofertas@jcyl.es) indicando en el asunto el Núm. de la oferta.
FUNCIONES: Las propias de la profesión
CONDICIONES: Laboral indefinido a jornada parcial. 
REQUISITOS: Diplomatura o Grado en Fisioterapia. Permiso de conducir.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394415'>Oficina Virtual</a></p>";;ECYL;1179469491795;Zamora;41.507324;-5.745313;49;1285679395873;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679395873/Empleo;41.507324, -5.745313
SOLDADORES DE ESTRUCTURAS METÁLICAS LIGERAS;Zamora;2026-09-16;"<p>Oferta Núm. 19589 SOLDADOR-MONTADOR DE ESTRUCTUAS METÁLICAS para empresa de La Hiniesta (Zamora).
Los interesados/as deben enviar su CV a (ecyldoctorfleming.ofertas@jcyl.es) indicando en el asunto el Núm. de la oferta.
FUNCIONES: Soldadura y montaje de estructuras metálicas.
CONDICIONES LABORALES: Contrato indefinido a jornada completa. Salario S/C.
REQUISITOS: Permiso de conducir. Formación PRL del sector del metal. Tarjeta profesional del Metal. Se valorará experiencia en puesto similar.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394405'>Oficina Virtual</a></p>";;ECYL;1179469374141;Hiniesta (La);41.551163;-5.79979;49;1285679363652;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679363652/Empleo;41.551163, -5.79979
Trabajador/a social en Residencia para Toro (Zamora);Zamora;2026-09-16;"<p><em>Fundación Intras</em> selecciona un/a <strong>TRABAJADOR/A SOCIAL</strong> para Toro (Zamora).</p>
<p><strong>Funciones:</strong></p>
<ul>
<li style='text-align: justify;'>Atención a personas usuarias o posibles usuarias, proporcionando información sobre recursos y llevando a cabo una evaluación preliminar en colaboración con el equipo técnico del servicio.</li>
<li style='text-align: justify;'>Apoyar en la elaboración y desarrollo del Plan de Intervención en los casos de su competencia.</li>
<li style='text-align: justify;'>En coordinación con el equipo profesional y los servicios sociales pertinentes, evaluación y gestión de aspectos sociales, familiares y económicos.</li>
<li style='text-align: justify;'>Tareas de información, atención, psicoeducación y apoyo a las familias.</li>
<li style='text-align: justify;'>Asesoramiento a personas usuarias y familiares sobre recursos y prestaciones sociales.</li>
<li style='text-align: justify;'>Asesorar y orientar a profesionales (ej. equipo mixto, equipo de valoración de dependencia, otros servicios relacionados con la discapacidad, etc.).</li>
<li style='text-align: justify;'>Informar, orientar y emitir valoraciones sobre necesidades de adaptación de la vivienda, eliminación de riesgos y barreras arquitectónicas, así como otras adaptaciones para mejorar la realización de las actividades básicas de la vida diaria.</li>
<li style='text-align: justify;'>Planificar, ejecutar y hacer seguimiento del programa para la gestión de dinero de la persona usuaria (en los casos que aplique).</li>
<li style='text-align: justify;'>Proporcionar asesoramiento al cuidador y/o familiar para manejar las necesidades y comportamientos de la persona dependiente.</li>
<li style='text-align: justify;'>Elaborar, desarrollar y coordinar programas de inserción sociolaboral y la mejora sociosanitaria de personas en situación de vulnerabilidad.</li>
<li style='text-align: justify;'>Organizar y participar en actividades de la vida diaria y/o de ocio con la persona usuaria.</li>
<li style='text-align: justify;'>Realizar acompañamientos, coordinarse con otros dispositivos para continuidad de actuaciones, desarrollar actuaciones grupales y comunitarias.</li>
<li style='text-align: justify;'>Coordinación con los servicios sociosanitarios implicados en cada caso (Clínica con Salud Mental y Servicios Sociales).</li>
<li style='text-align: justify;'>Gestión de expedientes.</li>
</ul>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Estudios mínimos: Ciclo formativo grado superior.</li>
<li>Experiencia mínima: 1 año.</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato de duración determinada.</li>
<li>Jornada completa.</li>
<li>Salario 21.000euros - 21.000euros Bruto/año.</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para presentar su candidatura, deberá estar inscrito/a en el portal que publica la oferta.</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.infojobs.net/' target='_blank'>https://www.infojobs.net/</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.infojobs.net/toro/trabajador-social-residencia-toro/of-i7a0084a23642e89ef12c94d23ddb98?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE' target='_blank'>Mas información e inscripción en la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/c2hCOFZzR0JFbmdMcGR0bnh6REdKV3R4dWE2ZHpNRzB4b1loc21oUzFsMD0%3D/EMPLEO-INTERNET-PRENSA/149074' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179469472195;Toro;41.52475;-5.394138;49;1285679507762;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679507762/Empleo;41.52475, -5.394138
Entrenador/a personal para Zamora;Zamora;2026-09-16;"<p><em>F4 Trainers-AvanzaFit </em>selecciona un/a <strong> ENTRENADOR/A PERSONAL</strong> para Zamora.</p>
<p><strong>Funciones:</strong></p>
<ul>
<li>Captar y gestionar la cartera de clientes.</li>
<li>Realizar el estudio y valoración de la condición física de las personas a entrenar.</li>
<li>Diseñar rutinas de entrenamiento y establecer objetivos realistas.</li>
<li>Realizar un seguimiento riguroso de los clientes y ofrecer asesoramiento nutricional.</li>
<li>Motivar y acompañar a los clientes para ayudarles a alcanzar sus objetivos</li>
</ul>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Grado Superior en Deporte o CAFYD.</li>
<li>Flexibilidad horaria.</li>
<li>No es necesario contar con experiencia previa.</li>
<li>Disponibilidad inmediata</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato Indefinido</li>
<li>Jornada completa</li>
<li>Porcentaje variable en función de la consecución de objetivos.</li>
<li>Flexibilidad horaria</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para presentar su candidatura, deberá estar inscrito/a en el portal que publica la oferta.</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.infojobs.net/' target='_blank'>https://www.infojobs.net/</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.infojobs.net/zamora/entrenador-personal/of-i75c07e856e4cd6966aaff3323a312c?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE' target='_blank'>Mas información e inscripción en la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/c2hCOFZzR0JFbmdMcGR0bnh6REdKV3R4dWE2ZHpNRzB4b1loc21oUzFsMD0%3D/EMPLEO-INTERNET-PRENSA/149076' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179469491795;Zamora;41.507324;-5.745313;49;1285679506960;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679506960/Empleo;41.507324, -5.745313
CONDUCTORES DE CAMIÓN, EN GENERAL;Zamora;2026-09-16;"<p>Se necesita CONDUCTOR DE CAMIÓN con Carnet C+E y CAP en vigor para BENAVENTE (ZAMORA).
Contrato indefinido a Jornada completa.
Interesados enviar C.V. a recursoshumanos@agropalsc.com</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394335'>Oficina Virtual</a></p>";;ECYL;1179469338450;Benavente;42.002884;-5.678469;49;1285679457590;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679457590/Empleo;42.002884, -5.678469
ENFERMEROS DE CUIDADOS GENERALES;Zamora;2026-09-16;"<p>Oferta Núm. 19596 ENFERMERO/A para Centro Residencial de Moraleja del Vino (Zamora).
Los interesados/as deben enviar su CV a (ecyldoctorfleming.ofertas@jcyl.es) indicando en el asunto el Núm. de la oferta.
FUNCIONES: Atención a usuarios/as del Centro.
CONDICIONES LABORALES: Contrato indefinido a jornada completa. 
REQUISITOS: Diplomatura o Grado en Enfermería.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394412'>Oficina Virtual</a></p>";;ECYL;1179469398387;Moraleja del Vino;41.46505;-5.654337;49;1285679395845;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679395845/Empleo;41.46505, -5.654337
CONDUCTORES DE CAMIÓN, EN GENERAL;Zamora;2026-09-16;"<p>Oferta Núm. 19551 CONDUCTOR DE CAMIÓN para empresa de Zamora.
Los interesados/as deben enviar su CV a (ecyldoctorfleming.ofertas@jcyl.es) indicando en el asunto el Núm. de la oferta.
FUNCIONES: Conduccción de camiones.
CONDICIONES LABORALES: Contrato indefinido a jornada completa. 
REQUISITOS: Permiso de conducir C+E y CAP en vigor.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394367'>Oficina Virtual</a></p>";;ECYL;1179469491795;Zamora;41.507324;-5.745313;49;1285679330806;2026-09-16;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679330806/Empleo;41.507324, -5.745313
MECÁNICOS REPARADORES DE MAQUINARIA DE CONSTRUCCIÓN, MOVIMIENTO DE TIERRAS Y/O MINERÍA;Burgos;2026-09-15;"<p>PUESTO SOLICITADO: Mecánico de maquinaria de obras públicas (oficial de 1ª)
LOCALIDAD: Burgos. 
REQUISITOS:
. Formación como Mecánico o experiencia en el puesto
. Conocimientos de equipos de diagnóstico (escáner), neumática, soldadura, electricidad, hidraulica, ...
. Permiso de conducir
SE OFRECE:
. Contrato indefinido
. Jornada completa, partida (09 a 14:00 y 16 a 19:00 h.)</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394288'>Oficina Virtual</a></p>";;ECYL;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285679069916;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679069916/Empleo;42.3408235575, -3.70205869083
TÉCNICOS EN MECÁNICA DE AUTOMOCIÓN;Burgos;2026-09-15;"<p>CONTACTAR CON LA OFICINA DE EMPLEO DE MIRANDA DE EBRO
TFNO. 947320408
NO ENVIAR CV</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=393906'>Oficina Virtual</a></p>";;ECYL;1179297562001;Miranda de Ebro;42.679066;-2.9675572;09;1285678963712;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963712/Empleo;42.679066, -2.9675572
CAMAREROS, EN GENERAL;Burgos;2026-09-15;"<p>PUESTO SOLICITADO: Ayudante de camarero/a 
LOCALIDAD: Burgos. 
REQUISITOS:
. Experiencia y conocimientos básicos de cocina. 
SE OFRECE: Jornada completa. Contrato temporal.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394291'>Oficina Virtual</a></p>";;ECYL;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285678963025;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963025/Empleo;42.3408235575, -3.70205869083
TERAPEUTAS OCUPACIONALES;León;2026-09-15;"<p>TERAPEUTA OCUPACIONAL DE PERSONAS DE TERCERA EDAD EN RESIDENCIA, CON DILPOMATURA O GRADO EN TERAPIA OCUPACIONAL. CONTRATO LABORAL TEMPORAL DE 1 AÑO, A JORNADA PARCIAL DE 6 HORAS DIARIAS (EN HORARIO DE 9:00 A 15:00 HORAS)
INTERESADOS LLAMAR AL 987 249530 (SECCIÓN OFERTAS - OFICINA EMPLEO RAMÓN Y CAJAL)</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394348'>Oficina Virtual</a></p>";;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285679164586;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679164586/Empleo;42.59873, -5.5670958
AUXILIARES DE ENFERMERÍA DE GERIATRÍA;León;2026-09-15;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394319'>Oficina Virtual</a></p>;;ECYL;1179298039540;Villaornate Y Castro;42.191906;-5.530234;24;1285679029285;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679029285/Empleo;42.191906, -5.530234
COCINEROS, EN GENERAL;Palencia;2026-09-15;<p>Cubrir vacante a Jornada parcial (25h/semana). Horario de 11:00 a 16:00.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=393426'>Oficina Virtual</a></p>;;ECYL;1179298134961;Villada;42.249454;-4.96879;34;1285678999373;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678999373/Empleo;42.249454, -4.96879
DELINEANTES, EN GENERAL;Palencia;2026-09-15;<p>DELINEACIÓN DE PLANOS CON SOFTWARE CAD. REDACCIÓN DE PRESUPUESTO CON SOFTWARE PRESTO. PRESENTACIONES DE PLANOS CON SOFTWARE GIS. REDACCIÓN DE PLANES DE SEGURIDAD. TOPOGRAFÍA Y REPLANTEO CON EQUPO GPS.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394184'>Oficina Virtual</a></p>;;ECYL;1179298116853;Saldaña;42.518005;-4.7419825;34;1285678903493;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678903493/Empleo;42.518005, -4.7419825
PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL;Palencia;2026-09-15;<p>Limpieza de oficinas bancarias. Opción a contrato indefinido. Horario: 45 minutos el martes y 45 minutos eljueves (1,5 horas/semana). Horario concreto a convenir.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394318'>Oficina Virtual</a></p>;;ECYL;1179298055413;Alar del Rey;42.65862;-4.307391;34;1285679029815;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679029815/Empleo;42.65862, -4.307391
ENFERMEROS DE CUIDADOS GENERALES;Palencia;2026-09-15;<p>Laboral indefinido. Jornada completa. Atención integral de personas mayores, responsable de la gestión de medicación, control de patologías crónicas y fomento de su autonomía física y cognitiva. Su labor central será garantizar el bienestar diario del residente y ofrecer un apoyo continuo a sus familias.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394304'>Oficina Virtual</a></p>;;ECYL;1179298064356;Becerril de Campos;42.110935;-4.641436;34;1285679000540;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679000540/Empleo;42.110935, -4.641436
CONDUCTORES-OPERADORES DE MAQUINARIA DE TRANSPORTE DE TIERRAS, EN GENERAL;Palencia;2026-09-15;<p>Conductores de maquinaria de obras públcas y/o tractorista agrícola con expleriencia con palas cargadoras, retroexcavadoras, palas mixta y/o buldocers. Exploción minera ubicada a 8km de Aguilar de Campoo. La empresa puede poner coche a disposición. El puesto tiene hasta un 15% de coeficiente de reducción (al periodo trabajado se le suma un 15% como tiempo cotizado de cara al acceso a la jubilación).</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394285'>Oficina Virtual</a></p>;;ECYL;1179298051138;Aguilar de Campoo;42.79319;-4.262214;34;1285678963368;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963368/Empleo;42.79319, -4.262214
CONDUCTORES DE CAMIÓN, EN GENERAL;Palencia;2026-09-15;<p>Cantera ubicada a 8 km de Aguilar de Campoo. El puesto sería para conducir camiones basculantes tráiler y fijos por los alrededores de Aguilar de Campoo transportando áridos y mercancías no peligrosas a granel. El contrato puede ser a jornada completa o parcial según lo que prefiera el trabajador-a. El puesto tiene un coeficiente reductor de cara a la jubilación del 10% (el tiempo trabajado en la empresa contará un 10% más para el acceso a la pensión de jubilación). La empresa dispone de una vivienda que podría alquilarle al trabajador-a.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394280'>Oficina Virtual</a></p>;;ECYL;1179298051138;Aguilar de Campoo;42.79319;-4.262214;34;1285678963340;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963340/Empleo;42.79319, -4.262214
Profesor/a de Canto para Ayto. de Villamayor (Salamanca);Salamanca;2026-09-15;"<p><strong>Convoca:</strong> Ayuntamiento de Villamayor (Escuela Municipal de Música)</p>
<p><strong>Cuerpo:</strong> PROFESOR/A DE CANTO</p>
<p><strong>Plazas:</strong> 1 + Bolsa</p>
<p><strong>Acceso:</strong> Valoración de Méritos (experiencia + formación)</p>
<p><strong>Titulación:</strong> Título Profesional de Grado Medio o Superior en la especialidad de canto</p>
<p><strong>Plazo: </strong>29 de septiembre de 2026</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Salamanca 15/09/2026</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://sede.diputaciondesalamanca.gob.es/documentacion/bop/2026/20260915/BOP-SA-20260915-014.pdf' target='_blank'>Enlace a Convocatoria en BOP</a></li><li><a href='https://villamayor.sedelectronica.es/preview-document/bbafef5d-dd77-4986-af29-c0ef470d5df2/' target='_blank'>Enlace a Convocatoria en Sede Electrónica Ayuntamiento</a></li></ul></p>";;Organismo oficial;1179298370510;Villamayor;41.001663;-5.6937933;37;1285679001592;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679001592/Empleo;41.001663, -5.6937933
ALBAÑILES;Salamanca;2026-09-15;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=393777'>Oficina Virtual</a></p>;;ECYL;1179298231776;Ciudad Rodrigo;40.602055;-6.531306;37;1285678963238;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963238/Empleo;40.602055, -6.531306
Personal office cocina;Salamanca;2026-09-15;"<p>Restaurante necesita SEÑORA PARA OFFICE de cocina.</p>
<p>Teléfono: 626569965.</p>
Oferta publicada en La Gaceta de Salamanca.";;Internet / Prensa;;;;;;1285678975288;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678975288/Empleo;
Profesor/a de Percusión Musical para Ayto. de Alba de Tormes (Salamanca);Salamanca;2026-09-15;"<p><strong>Convoca:</strong> Ayuntamiento de Alba de Tormes</p>
<p><strong>Cuerpo:</strong> PROFESOR/A DE PERCUSIÓN MUSICAL</p>
<p><strong>Plazas:</strong> 1</p>
<p><strong>Acceso:</strong> Valoración de Méritos (experiencia + formación)</p>
<p><strong>Titulación:</strong> Título Profesional de Grado Medio o Superior en la especialidad de percusión</p>
<p><strong>Plazo:</strong> 18 de septiembre de 2026</p>
<p><strong>Observaciones:</strong></p>
<ul>
<li>Entregar CV y Vida laboral</li>
</ul><p><strong>Información obtenida de: </strong>Empleo público. <a href='https://albadetormes.com/' target='_blank'>https://albadetormes.com/</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://albadetormes.com/noticias/CONVOCATORIA-PUBLICA-PROCESO-DE-SELECCION-PROFESOR-A-PERCUSION-00001/' target='_blank'>Enlace a Convocatoria en Sede Electrónica Ayuntamiento</a></li></ul></p>";;Organismo oficial;1179298177187;Alba de Tormes;40.8271496057;-5.51451226893;37;1285678994957;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678994957/Empleo;40.8271496057, -5.51451226893
CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O DEPENDENCIA, EN INSTITUCIONES;Segovia;2026-09-15;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394325'>Oficina Virtual</a></p>;;ECYL;1179298405057;Abades;40.915554;-4.2691665;40;1285679029461;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679029461/Empleo;40.915554, -4.2691665
CONSERJES, EN GENERAL;Segovia;2026-09-15;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394334'>Oficina Virtual</a></p>;;ECYL;1179298563848;Segovia;40.94356;-4.1130023;40;1285679069554;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679069554/Empleo;40.94356, -4.1130023
DIRECTORES DE SERVICIOS SOCIALES PARA PERSONAS MAYORES;Soria;2026-09-15;"<p>Requisitos:
Grado en el ámbito social.
Máster o curso en direccioón de centros sociosanitarios.
Se ofrece:
Contrato por sustitución de 9 meses.
Jornada completa.
Salario según valía del candidato.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394290'>Oficina Virtual</a></p>";;ECYL;1179469188421;Royo (El);41.91009;-2.642186;42;1285678963470;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678963470/Empleo;41.91009, -2.642186
MÉDICOS, MEDICINA GENERAL;Soria;2026-09-15;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394258'>Oficina Virtual</a></p>;;ECYL;1179469208393;Tardelcuende;41.59433;-2.641346;42;1285678903521;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285678903521/Empleo;41.59433, -2.641346
MONITORES Y/O ANIMADORES DEPORTIVOS;Valladolid;2026-09-15;<p>MONITOR AERÓBIC Y PILATES para contrato a tiempo parcial en Laguna de Duero y Valladolid. Horarios por definir inicio en octubre</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=392185'>Oficina Virtual</a></p>;;ECYL;1179469311668;Valladolid;41.652252;-4.724532;47;1285679111826;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679111826/Empleo;41.652252, -4.724532
ENFERMEROS DE CUIDADOS GENERALES;Valladolid;2026-09-15;"<p>Atención y seguimiento sanitario de las personas usuarias del centro de día. Control de constantes, administración y supervisión de medicación, realización de curas, seguimiento del estado de salud y coordinación con el equipo interdisciplinar y familiares cuando sea necesario. Registro de las actuaciones realizadas y demás funciones propias de su categoría profesional.
Contrato indefinido parcial 10 horas semanales, nos adaptamos al horario entre las 10 y las 17, total flexibilidad, de lunes a viernes. Salario según convenio mas pluses acordadas.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394299'>Oficina Virtual</a></p>";;ECYL;1179469311668;Valladolid;41.652252;-4.724532;47;1285679000568;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679000568/Empleo;41.652252, -4.724532
TERAPEUTAS OCUPACIONALES;Valladolid;2026-09-15;<p>Valoración y seguimiento de las capacidades funcionales de las personas usuarias. Diseño y realización de actividades de terapia ocupacional dirigidas al mantenimiento y mejora de la autonomía personal y las actividades de la vida diaria. Estimulación cognitiva y funcional. Elaboración y seguimiento de programas individualizados de intervención. Coordinación con el equipo interdisciplinar y demás funciones propias de su categoría profesional.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=387147'>Oficina Virtual</a></p>;;ECYL;1179469311668;Valladolid;41.652252;-4.724532;47;1285679000707;2026-09-15;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285679000707/Empleo;41.652252, -4.724532
